region,n,base_rate,approval_rate,n_positives,false_negative_rate
Arusha,10670,0.0803186504217432,0.5104967197750703,857,0.34772462077012833
Dar es Salaam,10299,0.08233809107680358,0.4869404796582193,848,0.28891509433962265
Eldoret,10277,0.08300087574194803,0.4775712756641043,853,0.2977725674091442
Jinja,11472,0.08612273361227336,0.48840655509065556,988,0.3066801619433198
Kampala,10136,0.0835635359116022,0.5019731649565904,847,0.32585596221959856
Kigali,11646,0.08629572385368367,0.48394298471578223,1005,0.3164179104477612
Mombasa,11904,0.09097782258064516,0.46706989247311825,1083,0.28439519852262235
Mwanza,10734,0.08030557108254145,0.44950624184833243,862,0.29466357308584684
Nairobi,10988,0.08927921368765926,0.4671459774299236,981,0.29255861365953106
Nakuru,9874,0.0802106542434677,0.5088110188373507,792,0.33080808080808083
