model,fold,n_train,n_test,pr_auc,roc_auc
logreg,0,70977,21600,0.13443818627705462,0.6198887189755324
logreg,1,92613,21600,0.13819431847375171,0.6222794866978917
logreg,2,114178,21600,0.1289982258862341,0.6279514289540188
logreg,3,135759,21600,0.13414061755529794,0.6217316163239043
logreg,4,157375,21600,0.13536593375697764,0.633198075280595
random_forest,0,70977,21600,0.10920418642214247,0.5774642861071995
random_forest,1,92613,21600,0.11214978000013376,0.5774559942554148
random_forest,2,114178,21600,0.1029498597077943,0.5658461897883422
random_forest,3,135759,21600,0.10642715834845033,0.5720095528192872
random_forest,4,157375,21600,0.11178961043762742,0.5894284636741829
xgboost,0,70977,21600,0.11667781236932082,0.5824848865736666
xgboost,1,92613,21600,0.12288611581856743,0.5823025236031582
xgboost,2,114178,21600,0.11493461622061156,0.5821563515873627
xgboost,3,135759,21600,0.12565404206063674,0.5972995882946373
xgboost,4,157375,21600,0.126721117208281,0.6107668537430551
